Time(s),F1(N),F2(N),F3(N)
0,12566.370614,4908.738521,3141.592654
10,16725.510208,4667.053609,2986.914310
20,1989.360810,1143.131351,731.604064
30,603.786691,92.973900,59.503296
40,790.573002,471.209253,301.573922
50,15926.181399,3744.416449,2396.426527
60,9716.227069,4288.648582,2744.735092
70,9140.750893,4125.258343,2640.165339
80,15453.015472,3509.375083,2246.000053
90,613.582831,367.674832,235.311893
100,1174.040952,182.382856,116.725028
110,2297.823857,1307.842499,837.019199
120,16613.519264,4796.185944,3069.559004
130,13122.264008,4987.844768,3192.220652
140,5943.317773,3006.947833,1924.446613
150,10489.820328,1963.506436,1256.644119
160,24.102221,14.700250,9.408160
170,7102.813706,1227.229164,785.426665
180,4564.858671,2417.633749,1547.285599
190,14632.666377,5109.912011,3270.343687
200,15873.072013,5048.565859,3231.082149
210,3326.823080,1833.421583,1173.389813
220,3710.054921,600.934454,384.598051
230,223.602680,135.567096,86.762941
240,13430.230692,2762.020942,1767.693403
250,7503.208294,3596.327376,2301.649521
260,11420.953505,4699.719440,3007.820442
270,16691.106658,4346.733670,2781.909549
280,1438.281598,840.565826,537.962128
290,21.928247,3.347080,2.142131
300,1211.528624,712.956819,456.292364
310,16545.065942,4170.954633,2669.410965
320,10878.816193,4581.273768,2932.015212
330,8013.956927,3771.290812,2413.626120
340,14174.026781,3006.738077,1924.312369
350,326.737680,197.485083,126.390453
360,2785.998017,444.203975,284.290544
370,2979.684010,1660.200958,1062.528613
380,16168.137422,4989.021294,3192.973628
390,14176.719976,5089.748700,3257.439168
400,4986.053281,2604.515964,1666.890217
410,8204.148854,1451.773720,929.135181
420,3.192129,1.948135,1.246806
430,9444.385312,1720.760544,1101.286748
440,5487.981908,2819.384857,1804.406308
450,13625.186433,5045.032057,3228.820516
460,16440.114205,4897.109010,3134.149767
470,2605.113021,1468.631608,939.924229
480,1854.640563,291.232078,186.388530
490,468.665479,282.063877,180.520882
500,14911.388765,3279.590568,2098.937963
510,8610.545826,3964.244875,2537.116720
520,10257.379024,4431.225741,2835.984474
530,16268.175832,3951.188901,2528.760897
540,975.790802,578.355330,370.147411
550,235.797346,36.107192,23.108603
560,1721.390798,997.339058,638.296997
570,16754.610847,4527.669192,2897.708283
580,12036.393685,4819.309361,3084.357991
590,6932.777429,3390.373481,2169.839028
600,12472.603055,2477.884243,1585.845916
